0,name,company,year,Price,kms_driven,fuel_type
4,Ford EcoSport Titanium,Ford,2014,2875000,36000,Diesel
5,Ford Figo,Ford,2012,875000,41000,Diesel
7,Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
9,Skoda Fabia Classic,Skoda,2010,910000,60000,Petrol
15,Audi A8,Audi,2017,5000000,4000,Petrol
16,Audi Q7,Audi,2014,2500000,16934,Diesel
17,Ford Figo,Ford,2012,875000,41000,Diesel
35,Renault Lodgy 85,Renault,2018,3449995,20000,Diesel
36,Skoda Yeti Ambition,Skoda,2012,2240000,68000,Diesel
38,Renault Duster 110,Renault,2012,2505000,38000,Diesel
39,Renault Duster 85,Renault,2013,2449995,27000,Diesel
59,Ford Figo,Ford,2012,875000,41000,Diesel
62,Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
64,Chevrolet Spark LS,Chevrolet,2010,550000,41000,Petrol
65,Volkswagen Polo Highline,Volkswagen,2014,1575000,60000,Petrol
66,Skoda Fabia Classic,Skoda,2010,910000,60000,Petrol
68,Chevrolet Spark LS,Chevrolet,2010,550000,41000,Petrol
69,Renault Duster 110PS,Renault,2012,2505000,35000,Diesel
73,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
76,Renault Duster,Renault,2014,2249995,50000,Diesel
80,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
81,Ford EcoSport,Ford,2017,2449995,39000,Petrol
83,Volkswagen Vento Highline,Volkswagen,2019,6000000,3600,Diesel
90,Skoda Fabia 1.2L,Skoda,2011,775000,45863,Diesel
91,BMW 3 Series,BMW,2011,3000000,60500,Petrol
94,Ford Figo Diesel,Ford,2012,1050000,35000,Diesel
96,Chevrolet Beat LT,Chevrolet,2012,675000,45000,Diesel
97,BMW 7 Series,BMW,2009,8000000,35000,Petrol
103,Ford EcoSport Titanium,Ford,2014,2750000,44000,Diesel
110,Ford Figo Diesel,Ford,2014,975000,50000,Diesel
121,Chevrolet Spark,Chevrolet,2012,792000,33600,Petrol
123,Nissan Micra XV,Nissan,2011,895000,41000,Petrol
128,Chevrolet Beat,Chevrolet,2015,750000,30000,Petrol
130,Ford EcoSport Trend,Ford,2016,4150000,24330,Diesel
138,Volkswagen Jetta Highline,Volkswagen,2014,3749995,46000,Diesel
139,Volkswagen Polo Comfortline,Volkswagen,2015,1999995,2800,Petrol
140,Volkswagen Polo,Volkswagen,2014,1374995,32000,Petrol
142,Renault Duster,Renault,2014,2249995,50000,Diesel
146,Renault Kwid,Renault,2016,1224995,11000,Petrol
147,Renault Duster,Renault,2013,1999995,41000,Diesel
148,Ford EcoSport,Ford,2017,2449995,39000,Petrol
149,Renault Duster,Renault,2014,2374995,50000,Diesel
152,Chevrolet Spark LT,Chevrolet,2010,425000,45000,Petrol
155,Fiat Punto Emotion,Fiat,2012,847500,37200,Diesel
160,Chevrolet Beat LT,Chevrolet,2011,750000,40000,Diesel
161,Chevrolet Beat LS,Chevrolet,2011,725000,45000,Diesel
162,Chevrolet Beat LT,Chevrolet,2012,492500,38000,Diesel
169,Ford Fiesta,Ford,2011,1374995,55000,Diesel
172,Ford Fiesta,Ford,2011,1374995,55000,Diesel
181,Fiat Petra ELX,Fiat,2008,375000,65000,Petrol
182,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
181,Fiat Petra ELX,Fiat,2008,375000,65000,Petrol
182,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
206,Force Motors Force,Force,2015,2900000,3200,Diesel
208,Renault Duster 110PS,Renault,2012,2505000,35000,Diesel
210,Force Motors Force,Force,2015,2900000,3200,Diesel
