name,company,year,Price,kms_driven,fuel_type
Toyota Prado,Toyota,1997,2100000,100000,Diesel
Suzuki Bolan,Suzuki,2006,380000,100000,Petrol
Suzuki Bolan,Suzuki,1998,340000,12345,CNG
Suzuki Alto,Suzuki,2010,535000,94000,Petrol
Toyota Corolla XLI,Toyota,2013,1430000,100000,Petrol
Toyota Corrolla Altis,Toyota,2012,1620000,80000,Petrol
Suzuki Cultus VXL,Suzuki,2006,450000,65000,CNG
Toyota Corrolla Altis,Toyota,2017,2900000,10241,Petrol
Suzuki Alto,Suzuki,2009,490000,83000,CNG
Honda Civic VTi,Honda,1997,480000,50000,Petrol
Suzuki Khyber,Suzuki,1994,230000,1230000,CNG
Suzuki Liana,Suzuki,2006,535000,73000,CNG
Toyota Passo,Toyota,2006,770000,78000,Petrol
Honda Civic Prosmetic,Honda,1997,490000,100000,Petrol
Honda Civic EXi,Honda,1984,160000,170000,CNG
Suzuki Alto,Suzuki,2005,425000,200000,Petrol
Daihatsu Charade,Daihatsu,1988,180000,100000,Petrol
MitsubishiPajero Mini,Mitsubishi,1995,520000,82000,Petrol
Suzuki Margalla,Suzuki,1990,400000,10000,CNG
Honda City IVTEC,Honda,2014,1400000,69500,Petrol
Suzuki Khyber,Suzuki,1989,175000,10000,CNG
KIA Classic,KIA,2001,120000,123456,CNG
Honda Civic EXi,Honda,2000,590000,87611,CNG
Honda Civic EXi,Honda,2007,785000,99000,CNG
Honda Civic EXi,Honda,2005,685000,99000,CNG
Suzuki Alto,Suzuki,2007,465000,88000,CNG
Toyota Corolla GLI,Toyota,2010,1190000,75000,Petrol
Toyota Corolla GLI,Toyota,2011,1290000,75000,Petrol
Suzuki Cultus VXR,Suzuki,2002,370000,76000,CNG
Nissan Dayz Highway ,Nissan,2013,1175000,47000,Petrol
Toyota Corolla XLI,Toyota,2015,1675000,43000,Petrol
Suzuki Mehran VX,Suzuki,1999,195000,3875,CNG
Suzuki Mehran VX,Suzuki,1991,165000,98000,CNG
Suzuki Alto,Suzuki,2006,420000,1000,Petrol
Toyota Vitz,Toyota,2014,1430000,39000,Petrol
Suzuki Mehran VXR,Suzuki,1991,150000,127000,CNG
Suzuki Carry,Suzuki,1982,130000,786000,LPG
Suzuki Cultus VXR,Suzuki,2004,415000,700000,CNG
Suzuki Mehran VX,Suzuki,1997,185000,99999,CNG
Toyota Passo,Toyota,2010,1040000,89000,Petrol
Suzuki Cultus VX,Suzuki,2002,400000,100000,CNG
Suzuki Cultus VXR,Suzuki,2001,360000,100000,Petrol
Toyota Vitz,Toyota,2003,1150000,69000,Petrol
Suzuki Mehran VX,Suzuki,2005,265000,65000,CNG
Suzuki Mehran VXR,Suzuki,2009,435000,73000,CNG
Toyota Corolla GLI,Toyota,2009,1220000,163000,Petrol
Suzuki Cultus VXR,Suzuki,2011,780000,34000,CNG
Suzuki Bolan,Suzuki,1987,250000,10000,CNG
Toyota Corrolla Altis,Toyota,2004,875000,45000,Petrol
Toyota Corolla XLI,Toyota,2013,1260000,65000,CNG
Suzuki Cultus VXR,Suzuki,2013,840000,65000,Petrol
Suzuki Alto,Suzuki,2004,350000,174000,CNG
Suzuki Baleno,Suzuki,2001,380000,5458,Petrol
Suzuki Alto,Suzuki,2007,340000,90000,Petrol
Daihatsu Mira,Daihatsu,2013,1050000,88000,Petrol
Toyota Vitz,Toyota,2006,730000,200000,CNG
Suzuki Mehran VXR,Suzuki,1995,195000,28800,CNG
Honda Civic VTi Oriel Prosmatec,Honda,2007,1070000,95000,Petrol
Daihatsu Cuore,Daihatsu,2001,410000,71000,CNG
Daihatsu Charade,Daihatsu,1984,155000,500000,CNG
Suzuki Margalla,Suzuki,1994,320000,670000,CNG
Toyota Corolla 2.0 D,Toyota,2010,1080000,134000,Diesel
Suzuki Bolan,Suzuki,1993,290000,90000,CNG
