0,name,company,year,Price,kms_driven,fuel_type
1,Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
2,Hyundai Eon,Hyundai,2013,950000,25000,Petrol
3,Hyundai Grand i10,Hyundai,2014,1625000,28000,Petrol
4,Ford EcoSport Titanium,Ford,2014,2875000,36000,Diesel
5,Ford Figo,Ford,2012,875000,41000,Diesel
6,Hyundai Eon,Hyundai,2013,950000,25000,Petrol
7,Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
8,Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
9,Skoda Fabia Classic,Skoda,2010,910000,60000,Petrol
10,Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
11,Hyundai Elite i20,Hyundai,2014,2075000,32000,Petrol
12,Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
13,Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
14,Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
15,Audi A8,Audi,2017,5000000,4000,Petrol
16,Audi Q7,Audi,2014,2500000,16934,Diesel
17,Ford Figo,Ford,2012,875000,41000,Diesel
18,Suzuki Alto,Suzuki,2014,800000,35550,Petrol
19,Hyundai Santro Xing,Hyundai,2007,400000,45000,Petrol
20,Suzuki Stingray,Suzuki,2016,1575000,30000,Petrol
21,Suzuki Alto,Suzuki,2015,375000,39000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
24,Hyundai i20 Sportz,Hyundai,2012,500000,55000,Petrol
25,Suzuki Alto,Suzuki,2017,950000,72000,Petrol
26,Suzuki Vitara,Suzuki,2016,1450000,15975,Diesel
27,Suzuki Alto,Suzuki,2008,475000,70000,Petrol
28,Suzuki Vitara,Suzuki,2017,1550000,15975,Diesel
29,Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
30,Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
31,Suzuki Swift,Suzuki,2017,900000,15487,Petrol
32,Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
33,Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
34,Toyota Innova 2.0,Toyota,2012,3250000,82000,Diesel
35,Renault Lodgy 85,Renault,2018,3449995,20000,Diesel
36,Skoda Yeti Ambition,Skoda,2012,2240000,68000,Diesel
37,Suzuki Baleno,Suzuki,2017,2745000,32000,Diesel
38,Renault Duster 110,Renault,2012,2505000,38000,Diesel
39,Renault Duster 85,Renault,2013,2449995,27000,Diesel
40,Honda City 1.5,Honda,2011,1400000,33000,Petrol
41,Suzuki Alto,Suzuki,2015,1250000,60000,Petrol
42,Suzuki Dzire,Suzuki,2013,1749995,46000,Diesel
43,Honda Amaze,Honda,2013,1424995,46000,Diesel
44,Honda Amaze 1.5,Honda,2015,1725000,36000,Diesel
45,Honda City,Honda,2015,2499995,55000,Petrol
46,Datsun Redi GO,Datsun,2017,1175000,16000,Petrol
47,Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
48,Mitsubishi Pajero Sport,Mitsubishi,2015,7375000,47000,Diesel
49,Honda Amaze,Honda,2017,1444995,46000,Diesel
50,Suzuki Swift,Suzuki,2014,1925000,35522,Diesel
51,Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
52,Suzuki Swift,Suzuki,2017,900000,15487,Petrol
53,Suzuki Wagon,Suzuki,2013,525000,39000,Petrol
54,Suzuki Swift,Suzuki,2013,525000,39000,Petrol
55,Suzuki SX4,Suzuki,2010,1249995,36000,Petrol
56,Suzuki Swift,Suzuki,2017,1100000,30874,Petrol
57,Honda City ZX,Honda,2017,850000,15000,Diesel
58,Suzuki Wagon,Suzuki,2013,425000,29685,Petrol
59,Ford Figo,Ford,2012,875000,41000,Diesel
60,Hyundai Eon,Hyundai,2013,950000,25000,Petrol
61,Suzuki Wagon,Suzuki,2013,425000,29685,Petrol
62,Ford EcoSport Ambiente,Ford,2016,4150000,24530,Diesel
63,Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
64,Chevrolet Spark LS,Chevrolet,2010,550000,41000,Petrol
65,Volkswagen Polo Highline,Volkswagen,2014,1575000,60000,Petrol
66,Skoda Fabia Classic,Skoda,2010,910000,60000,Petrol
67,Suzuki Stingray,Suzuki,2015,1575000,30000,Petrol
68,Chevrolet Spark LS,Chevrolet,2010,550000,41000,Petrol
69,Renault Duster 110PS,Renault,2012,2505000,35000,Diesel
70,Honda City,Honda,2015,2244995,54000,Petrol
71,Mini Cooper S,Mini,2013,9455555,13000,Petrol
72,Datsun Redi GO,Datsun,2017,1175000,16000,Petrol
73,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
74,Honda Amaze,Honda,2015,1724995,22000,Petrol
75,Honda Amaze,Honda,2015,1724995,22000,Petrol
76,Renault Duster,Renault,2014,2249995,50000,Diesel
77,Mini Cooper S,Mini,2013,9455555,13500,Petrol
78,Mini Cooper S,Mini,2013,9455555,13000,Petrol
79,Datsun Redi GO,Datsun,2017,1175000,16000,Petrol
80,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
81,Ford EcoSport,Ford,2017,2449995,39000,Petrol
82,Honda Brio,Honda,2012,1124995,30000,Petrol
83,Volkswagen Vento Highline,Volkswagen,2019,6000000,3600,Diesel
84,Hyundai i20 Magna,Hyundai,2009,975000,32000,Petrol
85,Toyota Corolla Altis,Toyota,2010,1755000,38000,Diesel
86,Hyundai Verna Transform,Hyundai,2008,800000,45000,Petrol
87,Toyota Corolla Altis,Toyota,2009,1200000,35000,Petrol
88,Honda City 1.5,Honda,2005,450000,50000,Petrol
89,Hyundai Elite i20,Hyundai,2014,2075000,32000,Petrol
90,Skoda Fabia 1.2L,Skoda,2011,775000,45863,Diesel
91,BMW 3 Series,BMW,2011,3000000,60500,Petrol
92,Suzuki A,Suzuki,2011,947500,12500,Petrol
93,Toyota Etios GD,Toyota,2013,1750000,60000,Diesel
94,Ford Figo Diesel,Ford,2012,1050000,35000,Diesel
95,Suzuki Swift,Suzuki,2014,1950000,35000,Petrol
96,Chevrolet Beat LT,Chevrolet,2012,675000,45000,Diesel
97,BMW 7 Series,BMW,2009,8000000,35000,Petrol
98,Suzuki Swift,Suzuki,2013,1860000,13349,Petrol
99,Hyundai i10 Magna,Hyundai,2014,1325000,18000,Petrol
100,Hyundai Verna Fluidic,Hyundai,2015,2625000,35000,Diesel
101,Suzuki Swift,Suzuki,2013,1860000,13349,Petrol
102,Suzuki Ertiga,Suzuki,2016,3175000,29000,Petrol
103,Ford EcoSport Titanium,Ford,2014,2750000,44000,Diesel
104,Suzuki Ertiga,Suzuki,2016,2875000,29000,Petrol
105,Suzuki Ertiga,Suzuki,2013,2425000,42000,Diesel
106,Suzuki Alto,Suzuki,2012,775000,14000,Petrol
107,Hyundai Grand i10,Hyundai,2014,1725000,49000,Diesel
108,Honda Amaze 1.2,Honda,2014,1625000,42000,Petrol
109,Hyundai i20 Asta,Hyundai,2012,1647500,36200,Diesel
110,Ford Figo Diesel,Ford,2014,975000,50000,Diesel
111,Suzuki Eeco,Suzuki,2015,1255555,55000,Petrol
112,Suzuki Ertiga,Suzuki,2014,2849995,45000,Petrol
113,Suzuki Esteem,Suzuki,2007,349995,51000,Petrol
114,Suzuki Ritz,Suzuki,2014,1499995,19000,Petrol
115,Suzuki Dzire,Suzuki,2009,1100000,46000,Petrol
116,Suzuki Ritz,Suzuki,2013,1999995,33000,Diesel
117,Suzuki Swift,Suzuki,2013,1860000,13349,Petrol
118,Suzuki Dzire,Suzuki,2015,2250000,104000,Diesel
119,Toyota Etios Liva,Toyota,2014,1350000,55000,Petrol
120,Hyundai i20 Sportz,Hyundai,2011,1750000,33333,Diesel
121,Chevrolet Spark,Chevrolet,2012,792000,33600,Petrol
122,Suzuki Alto,Suzuki,2017,1750000,5600,Petrol
123,Nissan Micra XV,Nissan,2011,895000,41000,Petrol
124,Suzuki Swift,Suzuki,2007,625000,70000,Petrol
125,Suzuki Alto,Suzuki,2018,1000000,7500,Petrol
126,Honda Amaze 1.5,Honda,2013,1495000,45000,Diesel
127,Suzuki Alto,Suzuki,2015,1100000,38000,Petrol
128,Chevrolet Beat,Chevrolet,2015,750000,30000,Petrol
129,Honda City 1.5,Honda,2010,1425000,35000,Petrol
130,Ford EcoSport Trend,Ford,2016,4150000,24330,Diesel
131,Hyundai i20 Asta,Hyundai,2009,1050000,65480,Petrol
132,Suzuki Swift,Suzuki,2013,1700000,41000,Petrol
133,Hyundai i20 Asta,Hyundai,2009,1050000,65480,Petrol
134,Suzuki Swift,Suzuki,2013,1700000,41000,Petrol
135,Toyota Corolla Altis,Toyota,2010,1449995,70000,Petrol
136,Toyota Corolla Altis,Toyota,2012,1749995,59000,Petrol
137,Toyota Innova 2.5,Toyota,2012,4249995,99000,Diesel
138,Volkswagen Jetta Highline,Volkswagen,2014,3749995,46000,Diesel
139,Volkswagen Polo Comfortline,Volkswagen,2015,1999995,2800,Petrol
140,Volkswagen Polo,Volkswagen,2014,1374995,32000,Petrol
141,Toyota Corolla Altis,Toyota,2012,1749995,59000,Petrol
142,Renault Duster,Renault,2014,2249995,50000,Diesel
143,Honda Amaze,Honda,2015,1724995,22000,Petrol
144,Nissan Sunny,Nissan,2012,1124995,45000,Petrol
145,Hyundai Elite i20,Hyundai,2018,2999995,21000,Petrol
146,Renault Kwid,Renault,2016,1224995,11000,Petrol
147,Renault Duster,Renault,2013,1999995,41000,Diesel
148,Ford EcoSport,Ford,2017,2449995,39000,Petrol
149,Renault Duster,Renault,2014,2374995,50000,Diesel
150,Suzuki Alto,Suzuki,2018,1550000,3000,Petrol
151,Suzuki Alto,Suzuki,2018,1550000,3000,Petrol
152,Chevrolet Spark LT,Chevrolet,2010,425000,45000,Petrol
153,Datsun Redi GO,Datsun,2016,1225000,7000,Petrol
154,Suzuki Swift,Suzuki,2010,947500,38500,Diesel
155,Fiat Punto Emotion,Fiat,2012,847500,37200,Diesel
156,Suzuki Swift,Suzuki,2010,797500,43200,Diesel
157,Toyota Etios GD,Toyota,2013,1375000,24800,Petrol
158,Hyundai i20 Sportz,Hyundai,2014,1850000,60000,Diesel
159,Hyundai i10 Sportz,Hyundai,2010,840000,45872,Petrol
160,Chevrolet Beat LT,Chevrolet,2011,750000,40000,Diesel
161,Chevrolet Beat LS,Chevrolet,2011,725000,45000,Diesel
162,Chevrolet Beat LT,Chevrolet,2012,492500,38000,Diesel
163,Suzuki Swift,Suzukii,2011,1045000,47000,Diesel
164,Hyundai Eon Era,Hyundai,2013,925000,27000,Petrol
165,Toyota Corolla Altis,Toyota,2015,2875000,42000,Petrol
166,Honda City 1.5,Honda,2014,2745000,39000,Petrol
167,Suzuki Swift,Suzukii,2011,1045000,47000,Diesel
168,Hyundai Eon Era,Hyundai,2013,925000,27000,Petrol
169,Ford Fiesta,Ford,2011,1374995,55000,Diesel
170,Honda Amaze,Honda,2013,1424995,46000,Diesel
171,Honda Brio,Honda,2012,1124995,30000,Petrol
172,Ford Fiesta,Ford,2011,1374995,55000,Diesel
173,Honda Amaze,Honda,2013,1424995,46000,Diesel
174,Honda City,Honda,2015,2999995,30000,Diesel
175,Suzuki Wagon,Suzukii,2012,999995,44000,Petrol
176,Honda City,Honda,2014,2724995,45000,Diesel
177,Hyundai i20,Hyundai,2009,995000,31000,Petrol
178,Suzuki Ciaz,Suzuki,2016,3500000,3350,Petrol
179,Hyundai Fluidic Verna,Hyundai,2015,2700000,38000,Diesel
180,Suzuki Ciaz,Suzuki,2016,3500000,3350,Petrol
181,Fiat Petra ELX,Fiat,2008,375000,65000,Petrol
182,Skoda Fabia 1.2L,Skoda,2011,797500,38200,Diesel
183,Mini Cooper S,Mini,2013,9455555,13000,Petrol
184,Hyundai Santro Xing,Hyundai,2005,245000,7500,Petrol
185,Suzuki Ciaz,Suzuki,2016,3500000,3350,Petrol
186,Suzuki Zen,Suzuki,2000,275000,60000,Petrol
187,Honda City,Honda,2015,2244995,54000,Petrol
188,Hyundai Creta 1.6,Hyundai,2017,4475000,32000,Petrol
189,Toyota Innova 2.5,Toyota,2006,1825000,73000,Diesel
190,Suzuki Alto,Suzuki,2011,725000,41000,Petrol
191,Toyota Innova 2.5,Toyota,2006,1825000,73000,Diesel
192,Suzuki Alto,Suzuki,2011,725000,41000,Petrol
193,Suzuki Wagon,Suzuki,2011,1050000,35000,Petrol
