name,company,year,Price,suspension,fuel_type
Kia Picanto,Kia,2022,2186000,Manual,Petrol
Kia Picanto,Kia,2022,2292000,Automatic,Petrol
Kia Stonic EX,Kia,2022,3750000,Automatic,Petrol
Kia Stonic EX+,Kia,2022,3975000,Automatic,Petrol
Kia Sportage Alpha,Kia,2022,4764000,Automatic,Petrol
Kia Sportage AWD,Kia,2022,5276000,Automatic,Petrol
Kia Sportage FWD,Kia,2022,5800000,Automatic,Petrol
Kia Carnival GLS,Kia,2022,9199000,Automatic,Petrol
Kia Carnival GLS+,Kia,2022,9999000,Automatic,Diesel
Kia Sorento FWD,Kia,2021,6836000,Automatic,Petrol
Kia Sorento AWD,Kia,2022,7499000,Automatic,Petrol
Suzuki Alto VX,Suzuki,2022,1306000,Automatic,Petrol
Suzuki Alto VXR,Suzuki,2022,1546000,Automatic,Petrol
Suzuki Alto VXL,Suzuki,2022,1747000,Automatic,Petrol
Suzuki Wagon VXR,Suzuki,2022,1877000,Automatic,Petrol
Suzuki Wagon VXL,Suzuki,2022,1975000,Automatic,Petrol
Suzuki Wagon AGS,Suzuki,2022,2158000,Automatic,Petrol
Suzuki Cultus VXR,Suzuki,2022,2030000,Automatic,Petrol
Suzuki Cultus VXL,Suzuki,2022,2244000,Automatic,Petrol
Suzuki Cultus AGS,Suzuki,2022,2422000,Automatic,Petrol
Suzuki Swift GL,Suzuki,2022,2499000,Automatic,Petrol
Suzuki Swift GLX,Suzuki,2022,2899000,Automatic,Petrol
Suzuki Jimny GA,Suzuki,2022,4809000,Automatic,Petrol
Suzuki Vitara GLX,Suzuki,2022,6915000,Automatic,Petrol
Suzuki APV 1.5L,Suzuki,2022,4898000,Automatic,Petrol
Suzuki Ravi,Suzuki,2022,1117000,Automatic,Petrol
Suzuki Bolan,Suzuki,2022,1178000,Automatic,Petrol
Toyota Yaris GLI M/T,Toyota,2021,2619000,Automatic,Petrol
Toyota Yaris GLI CVT,Toyota,2021,2824000,Automatic,Petrol
